code_insee,nom,code_ville,lat,lon
75101,Paris 1er Arrondissement,75056,48.862,2.3359
75102,Paris 2e Arrondissement,75056,48.8677,2.3411
75103,Paris 3e Arrondissement,75056,48.8626,2.3593
75104,Paris 4e Arrondissement,75056,48.8541,2.3569
75105,Paris 5e Arrondissement,75056,48.8454,2.3514
75106,Paris 6e Arrondissement,75056,48.8495,2.3307
75107,Paris 7e Arrondissement,75056,48.8548,2.3115
75108,Paris 8e Arrondissement,75056,48.8732,2.3111
75109,Paris 9e Arrondissement,75056,48.8771,2.3379
75110,Paris 10e Arrondissement,75056,48.876,2.3624
75111,Paris 11e Arrondissement,75056,48.8601,2.3816
75112,Paris 12e Arrondissement,75056,48.8342,2.4173
75113,Paris 13e Arrondissement,75056,48.8303,2.3656
75114,Paris 14e Arrondissement,75056,48.8297,2.323
75115,Paris 15e Arrondissement,75056,48.8417,2.2937
75116,Paris 16e Arrondissement,75056,48.8572,2.263
75117,Paris 17e Arrondissement,75056,48.8874,2.305
75118,Paris 18e Arrondissement,75056,48.8919,2.3487
75119,Paris 19e Arrondissement,75056,48.8871,2.3878
75120,Paris 20e Arrondissement,75056,48.8625,2.3966
69381,Lyon 1er Arrondissement,69123,45.7701,4.8264
69382,Lyon 2e Arrondissement,69123,45.7464,4.8265
69383,Lyon 3e Arrondissement,69123,45.7514,4.8685
69384,Lyon 4e Arrondissement,69123,45.7805,4.826
69385,Lyon 5e Arrondissement,69123,45.756,4.8012
69386,Lyon 6e Arrondissement,69123,45.7753,4.8548
69387,Lyon 7e Arrondissement,69123,45.7321,4.8393
69388,Lyon 8e Arrondissement,69123,45.7342,4.8695
69389,Lyon 9e Arrondissement,69123,45.7836,4.8128
13201,Marseille 1er Arrondissement,13055,43.3002,5.3828
13202,Marseille 2e Arrondissement,13055,43.3225,5.3497
13203,Marseille 3e Arrondissement,13055,43.3113,5.3806
13204,Marseille 4e Arrondissement,13055,43.3063,5.4002
13205,Marseille 5e Arrondissement,13055,43.2925,5.4006
13206,Marseille 6e Arrondissement,13055,43.2876,5.3814
13207,Marseille 7e Arrondissement,13055,43.2796,5.3274
13208,Marseille 8e Arrondissement,13055,43.215,5.3256
13209,Marseille 9e Arrondissement,13055,43.2366,5.4523
13210,Marseille 10e Arrondissement,13055,43.2743,5.4243
13211,Marseille 11e Arrondissement,13055,43.2877,5.4787
13212,Marseille 12e Arrondissement,13055,43.3071,5.4418
13213,Marseille 13e Arrondissement,13055,43.3528,5.4301
13214,Marseille 14e Arrondissement,13055,43.3468,5.3915
13215,Marseille 15e Arrondissement,13055,43.3531,5.3653
13216,Marseille 16e Arrondissement,13055,43.3642,5.3161
