commune,region,population,part_65_plus_pct,densite_hab_km2,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,hab_par_audio,nb_orl_liberaux_2022,region_code,code_insee
Rouvroy-Ripont,44 - Grand Est,6,100.0,0.51,,7.5,0,6.0,0,44,51470
Levallois-Perret,11 - Île-de-France,65817,14.5,27309.96,32960.0,26.8,7,8227.125,4,11,92044
Saint-Mandé,11 - Île-de-France,22248,18.2,24182.61,34180.0,25.4,2,7416.0,1,11,94067
Neuilly-sur-Seine,11 - Île-de-France,59940,22.5,16069.71,46280.0,30.0,11,4995.0,7,11,92051
Vincennes,11 - Île-de-France,49635,15.4,25986.91,33270.0,25.0,8,5515.0,2,11,94080
Boulogne-Billancourt,11 - Île-de-France,121334,16.8,19665.15,33590.0,25.5,11,10111.166666666666,10,11,92012
Montrouge,11 - Île-de-France,48734,15.3,23543.0,28880.0,22.6,6,6962.0,1,11,92049
Artigues,93 - Provence-Alpes-Côte d'Azur,271,62.9,8.51,25010.0,10.6,0,271.0,0,93,83006
Courbevoie,11 - Île-de-France,82198,14.4,19711.75,30930.0,23.4,6,11742.57142857143,7,11,92026
Saint-Pierre,04 - La Réunion,84961,22.1,885.1,15690.0,12.4,6,12137.285714285714,3,04,97416
Molring,44 - Grand Est,5,80.0,1.53,,7.9,0,5.0,0,44,57470
Saint-Genest,84 - Auvergne-Rhône-Alpes,401,63.0,26.43,22590.0,7.6,0,401.0,0,84,03233
Le Pré-Saint-Gervais,11 - Île-de-France,17485,14.1,24978.57,19960.0,20.8,1,8742.5,0,11,93061
Lolme,75 - Nouvelle-Aquitaine,195,62.7,28.18,19410.0,7.8,0,195.0,0,75,24244
Vanves,11 - Île-de-France,27466,17.9,17606.41,29140.0,22.0,3,6866.5,1,11,92075
Arzon,53 - Bretagne,2131,54.7,238.63,26150.0,10.7,0,2131.0,0,53,56005
Moncaup,75 - Nouvelle-Aquitaine,157,61.1,13.83,20540.0,8.1,0,157.0,0,75,64390
Jard-sur-Mer,52 - Pays de la Loire,2664,56.1,160.77,24040.0,10.2,0,2664.0,0,52,85114
Le Touquet-Paris-Plage,32 - Hauts-de-France,4229,51.2,276.22,27520.0,13.6,0,4229.0,0,32,62826
Pradines,76 - Occitanie,3515,57.0,213.16,21820.0,9.4,0,3515.0,0,76,46224
Damgan,53 - Bretagne,1771,56.5,174.31,23800.0,9.2,0,1771.0,0,53,56052
Vaux-sur-Mer,75 - Nouvelle-Aquitaine,3862,52.8,646.9,24700.0,11.3,0,3862.0,0,75,17461
Paris,11 - Île-de-France,2175601,16.9,20641.38,28270.0,31.0,204,10612.687804878047,156,11,75056
Curmont,44 - Grand Est,12,75.0,4.08,,7.2,0,12.0,0,44,52157
Issy-les-Moulineaux,11 - Île-de-France,68260,13.7,16061.18,31820.0,24.0,6,9751.42857142857,3,11,92040
Châtillon,11 - Île-de-France,37010,22.0,12674.66,29000.0,20.8,3,9252.5,3,11,92020
Arcachon,75 - Nouvelle-Aquitaine,11567,50.5,1530.03,24920.0,13.7,4,2313.4,2,75,33009
Barrettali,94 - Corse,133,59.4,7.36,17520.0,11.1,0,133.0,0,94,2B030
La Garenne-Colombes,11 - Île-de-France,29430,13.7,16533.71,31280.0,21.4,3,7357.5,2,11,92035
Saint-Gildas-de-Rhuys,53 - Bretagne,1517,51.3,99.28,26840.0,9.4,0,1517.0,0,53,56214
Clichy,11 - Île-de-France,62485,12.1,20287.34,20300.0,21.2,4,12497.0,3,11,92024
Charenton-le-Pont,11 - Île-de-France,30053,15.7,16244.86,28820.0,23.5,4,6010.6,2,11,94018
Saint-Palais-sur-Mer,75 - Nouvelle-Aquitaine,3905,49.2,248.88,26050.0,11.2,0,3905.0,0,75,17380
Le Pouliguen,52 - Pays de la Loire,4145,51.3,944.19,23820.0,12.5,2,1381.6666666666667,0,52,44135
Saint-Maurice,11 - Île-de-France,14001,27.3,9790.91,27240.0,21.4,1,7000.5,0,11,94069
Les Lilas,11 - Île-de-France,23402,15.9,18573.02,23420.0,22.4,3,5850.5,1,11,93045
Saizy,27 - Bourgogne-Franche-Comté,187,56.7,14.13,20280.0,7.8,0,187.0,0,27,58271
Marcols-les-Eaux,84 - Auvergne-Rhône-Alpes,287,56.4,17.94,20300.0,8.1,0,287.0,0,84,07149
Sorbiers,84 - Auvergne-Rhône-Alpes,7856,47.2,644.46,24360.0,10.4,0,7856.0,0,84,42302
Saint-Georges-de-Didonne,75 - Nouvelle-Aquitaine,5340,49.3,504.73,23190.0,10.9,0,5340.0,0,75,17333
Montreuil,11 - Île-de-France,109914,22.4,12322.2,19610.0,20.2,5,18319.0,1,11,93048
Ghisoni,94 - Corse,211,56.4,1.69,18940.0,9.9,0,211.0,0,94,2B124
Prades,84 - Auvergne-Rhône-Alpes,1185,56.2,121.04,20810.0,8.6,3,296.25,0,84,
Le Puch,76 - Occitanie,29,70.0,10.03,,9.5,0,29.0,0,76,09237
Soccia,94 - Corse,147,54.5,5.2,20550.0,9.9,0,147.0,0,94,2A282
Saint-Didier,53 - Bretagne,2043,51.7,144.48,23280.0,8.3,0,2043.0,0,53,35264
Châteauvieux-les-Fossés,27 - Bourgogne-Franche-Comté,12,70.0,2.69,,8.7,0,12.0,0,27,25130
Vaux-sur-Lunain,11 - Île-de-France,228,51.5,26.92,23920.0,9.6,0,228.0,0,11,77489
Asnières-sur-Seine,11 - Île-de-France,85946,12.8,17831.12,26210.0,20.8,8,9549.555555555557,1,11,92004
Saint-Paul,04 - La Réunion,103492,34.2,428.93,17130.0,15.4,2,34497.333333333336,3,04,97415
Beaumont,84 - Auvergne-Rhône-Alpes,10793,42.7,2691.52,24920.0,10.5,1,5396.5,2,84,
Vicq,11 - Île-de-France,387,41.4,87.36,33990.0,15.3,0,387.0,0,11,78653
Boscamnant,75 - Nouvelle-Aquitaine,374,54.8,26.75,20160.0,6.8,0,374.0,0,75,17055
Bois-Colombes,11 - Île-de-France,28468,14.1,14827.08,30580.0,20.5,3,7117.0,1,11,92009
La Brée-les-Bains,75 - Nouvelle-Aquitaine,689,50.6,94.77,23090.0,10.3,0,689.0,0,75,17486
Soorts-Hossegor,75 - Nouvelle-Aquitaine,3459,44.5,238.39,27150.0,12.9,0,3459.0,0,75,40304
Montbolo,76 - Occitanie,178,54.1,8.1,18340.0,10.1,0,178.0,0,76,66113
L'Aiguillon-sur-Mer,52 - Pays de la Loire,2062,50.9,235.93,20660.0,10.0,0,2062.0,0,52,85001
Gorniès,76 - Occitanie,122,53.1,4.16,19730.0,9.5,0,122.0,0,76,34115
Felce,94 - Corse,52,67.3,11.13,,10.8,0,52.0,0,94,2B111
Marcq-en-Barœul,32 - Hauts-de-France,38570,19.9,2747.15,27330.0,13.9,0,38570.0,1,32,59378
Bourg-la-Reine,11 - Île-de-France,20769,17.1,11166.13,32570.0,20.4,2,6923.0,2,11,92014
Saint-Antoine,27 - Bourgogne-Franche-Comté,339,43.0,75.17,31980.0,10.7,0,339.0,0,27,25514
Tourgéville,28 - Normandie,790,44.4,65.78,28550.0,13.2,0,790.0,0,28,14701
Malakoff,11 - Île-de-France,30711,14.8,14836.23,24380.0,21.9,2,10237.0,0,11,92046
Beaulieu,84 - Auvergne-Rhône-Alpes,636,48.1,72.35,25000.0,9.4,0,636.0,0,84,
Illier-et-Laramade,76 - Occitanie,29,67.6,5.78,,8.0,0,29.0,0,76,09143
Bois-Sainte-Marie,27 - Bourgogne-Franche-Comté,193,66.2,71.75,22430.0,7.0,0,193.0,0,27,71041
