code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,equipee
01033,Valserhône,84 - Auvergne-Rhône-Alpes,16712,17.1,27090.0,16.8637553118702,0.0,5,0,46.10636818181818,5.827437171717172,0.0,28547.29666911145,False,False,47.78994364158004,1
01071,Cessy,84 - Auvergne-Rhône-Alpes,5832,10.4,47240.0,20.830651303137,0.0,0,0,46.316183333333335,6.077904583333333,7.3,34651.18361457002,True,True,111.5944904441347,0
01173,Gex,84 - Auvergne-Rhône-Alpes,13627,10.08,41100.0,19.9021436251448,0.0,0,0,46.346787625,6.04846775,5.8,33038.32309939616,True,True,95.7638691342914,0
01281,Ornex,84 - Auvergne-Rhône-Alpes,5082,12.0,39600.0,21.7232113348132,0.0,0,0,46.27633166666666,6.095238333333333,2.7,31799.94956345414,True,True,100.81704202343514,0
01289,Péronnas,84 - Auvergne-Rhône-Alpes,6444,27.44,27120.0,11.7553776383391,0.0,1,0,46.17032999999999,5.215006486486486,0.0,30685.895216771696,False,False,89.8044890808771,1
01313,Prévessin-Moëns,84 - Auvergne-Rhône-Alpes,9153,9.97,47980.0,24.134103063741,0.0,0,0,46.2559936764706,6.069940147058823,2.6,33042.8748531755,True,True,105.94651738354588,0
01344,Saint-Denis-lès-Bourg,84 - Auvergne-Rhône-Alpes,6160,24.5,28490.0,11.4852676955288,0.0,0,0,46.21164,5.184025517241379,5.0,31658.960937445285,True,False,87.02308519564485,0
02340,Gauchy,32 - Hauts-de-France,5183,24.21,23200.0,10.1350165894,0.0,1,0,49.82325619047619,3.2848461904761903,0.0,30414.274238344635,False,False,91.0836753517076,1
03101,Domérat,84 - Auvergne-Rhône-Alpes,8622,32.42,25630.0,8.48736231192463,0.0,0,0,46.36865233333334,2.5439912222222225,5.4,32009.292094127824,True,True,46.69290917235054,0
03321,Yzeure,84 - Auvergne-Rhône-Alpes,12897,27.93,26620.0,9.97620259082184,0.0,0,0,46.56814666666666,3.3798571604938275,4.0,31262.70149691005,True,False,52.27633307355971,0
04143,Oraison,93 - Provence-Alpes-Côte d'Azur,6155,29.49,25670.0,11.5051509814358,0.0,0,0,43.916222968750006,5.932011875,4.4,31470.58137937828,True,False,42.18004293801322,0
06018,Biot,93 - Provence-Alpes-Côte d'Azur,10511,18.73,33870.0,19.7011951629555,0.0,0,0,43.62662321428572,7.0829401785714285,3.0,31604.68568884316,True,False,73.25946746751535,0
06044,La Colle-sur-Loup,93 - Provence-Alpes-Côte d'Azur,8202,23.36,32700.0,17.6620826229296,0.0,0,0,43.68594461538461,7.094906153846155,3.3,31878.51510352396,True,True,67.09343946973048,0
06054,Drap,93 - Provence-Alpes-Côte d'Azur,5484,20.28,24800.0,18.058294696679,0.0,0,0,43.75869617021275,7.33711106382979,1.5,29711.062128864723,True,False,61.34475585664909,0
06065,La Gaude,93 - Provence-Alpes-Côte d'Azur,7265,24.81,32490.0,17.8310878204013,0.0,0,0,43.71735210526316,7.154555789473685,4.2,32353.751514457857,True,True,75.6393418360852,0
06075,Levens,93 - Provence-Alpes-Côte d'Azur,5377,20.26,28950.0,13.7162306628227,0.0,2,0,43.84838729411765,7.238814235294116,0.0,29440.37660842466,False,False,40.835409780992265,1
06084,Mouans-Sartoux,93 - Provence-Alpes-Côte d'Azur,11015,24.81,31230.0,18.2225305484155,0.0,1,0,43.62092107142856,6.967203035714285,0.0,32278.338524962048,False,False,71.51068821032186,1
06108,La Roquette-sur-Siagne,93 - Provence-Alpes-Côte d'Azur,5669,20.58,30530.0,18.1679032429974,0.0,0,0,43.58374515151515,6.948780303030303,2.1,30787.898321132438,True,False,80.19344906181936,0
