commune,region,population,part_65_plus_pct,score
Saint-Benoît,04 - La Réunion,37274,23.7,46179.9686486768
Saint-Joseph,04 - La Réunion,37517,17.7,45535.77257749022
Le Port,04 - La Réunion,33531,26.2,45517.05111711601
Sainte-Marie,04 - La Réunion,33234,27.8,44638.381115106764
Stains,11 - Île-de-France,38666,13.6,44050.51637086369
Villepinte,11 - Île-de-France,37280,20.3,44000.128008194566
Saint-Leu,04 - La Réunion,34196,11.4,43931.62051804376
Grigny,11 - Île-de-France,28265,19.2,43225.96320079402
Cayenne,03 - Guyane,63652,8.0,43125.633103346096
Sainte-Marie,02 - Martinique,15571,34.6,43113.310349350635
Sainte-Suzanne,04 - La Réunion,23718,23.4,42900.45764964364
Marcq-en-Barœul,32 - Hauts-de-France,38570,19.9,42498.382222253334
Vandœuvre-lès-Nancy,44 - Grand Est,30009,16.8,42388.53576003392
Saint-Étienne-du-Rouvray,28 - Normandie,28500,16.9,42263.4124578933
Villiers-le-Bel,11 - Île-de-France,28041,10.2,42224.087788164354
La Possession,04 - La Réunion,32633,8.7,42180.01424827233
Saint-Laurent-du-Maroni,03 - Guyane,45576,2.7,42176.341338810016
Clichy-sous-Bois,11 - Île-de-France,28992,9.3,42026.81734450155
Rochefort,75 - Nouvelle-Aquitaine,23583,25.6,42020.56445923783
Le Robert,02 - Martinique,22429,17.6,41799.218137509655
Vigneux-sur-Seine,11 - Île-de-France,31463,12.9,41572.028408550315
Torcy,11 - Île-de-France,22361,28.9,41518.47418091332
Le François,02 - Martinique,16423,22.0,41166.37055394485
Montfermeil,11 - Île-de-France,27201,13.6,40901.650421449296
Savigny-le-Temple,11 - Île-de-France,29792,8.6,40731.49393259756
Beaupréau-en-Mauges,52 - Pays de la Loire,23407,18.7,40711.89228096872
Le Lorrain,02 - Martinique,6824,25.2,40638.42337449507
Baie-Mahault,01 - Guadeloupe,31193,13.1,40633.11936131281
Berck,32 - Hauts-de-France,13791,28.8,40610.322345335284
Gros-Morne,02 - Martinique,9755,24.9,40586.803634417454
Sèvremoine,52 - Pays de la Loire,25330,15.7,40528.851538675386
Rivière-Pilote,02 - Martinique,11972,21.6,40511.161508262485
Hautmont,32 - Hauts-de-France,14601,16.8,40502.98380158725
Le Vauclin,02 - Martinique,8686,23.9,40481.07472022151
Vire Normandie,28 - Normandie,16885,27.0,40443.80754401368
Villeneuve-la-Garenne,11 - Île-de-France,24023,12.5,40427.93749517025
Le Petit-Quevilly,28 - Normandie,22291,15.6,40387.321005513404
Le Gosier,01 - Guadeloupe,26692,18.8,40364.471131080994
Matoury,03 - Guyane,32942,6.9,40301.27594732519
Herblay-sur-Seine,11 - Île-de-France,30095,13.2,40288.48158666129
Sainte-Anne,01 - Guadeloupe,23767,23.4,40251.08528868372
Château-Gontier-sur-Mayenne,52 - Pays de la Loire,16913,26.3,40217.141324314005
Châlette-sur-Loing,24 - Centre-Val de Loire,12790,20.3,40205.77633459826
Saint-Hilaire-de-Riez,52 - Pays de la Loire,11179,40.6,40180.28010343432
Petite-Île,04 - La Réunion,12308,15.3,40147.361040188
Vitry-le-François,44 - Grand Est,11743,23.7,40139.67699139864
Saint-Joseph,02 - Martinique,16152,17.5,40138.50562211775
La Chapelle-Saint-Luc,44 - Grand Est,11913,18.8,40115.28931224992
