bande10,tercile_revenu,n,part_avec_avis,avis_median,note_moyenne
0,T1 (bas),132.0,0.8712121212121212,8.0,4.850434782608695
0,T2,114.0,0.868421052631579,10.0,4.763636363636364
0,T3 (haut),34.0,0.9117647058823529,9.0,4.864516129032259
1-2,T1 (bas),322.0,0.9006211180124224,15.0,4.7172413793103445
1-2,T2,260.0,0.9576923076923077,17.0,4.790763052208836
1-2,T3 (haut),164.0,0.926829268292683,15.0,4.8072368421052625
3-9,T1 (bas),228.0,0.9122507648330164,23.0,4.776026094367235
3-9,T2,163.0,0.9570645683940873,30.0,4.787820839620085
3-9,T3 (haut),111.0,0.9459603303620571,26.0,4.801002390395016
10+,T1 (bas),390.0,0.9461526571207014,36.0,4.739294222139172
10+,T2,475.0,0.938946366812349,34.0,4.75448574526751
10+,T3 (haut),573.0,0.9563719065402716,31.0,4.79307387730806
