bande10,apl_terc,n,rated,reviews_median,rating
0,A1,238.0,0.8571428571428571,8.0,4.813235294117647
0,A2,37.0,1.0,12.0,4.81891891891892
0,A3,5.0,0.8,16.0,5.0
1-2,A1,575.0,0.92,17.0,4.754820415879017
1-2,A2,138.0,0.9637681159420289,11.0,4.786466165413534
1-2,A3,33.0,0.8787878787878788,12.0,4.817241379310344
3-9,A1,309.0,0.9352596012654052,27.0,4.77686096895239
3-9,A2,165.0,0.9333305966025908,22.0,4.785761350951061
3-9,A3,28.0,0.9286175693060977,28.0,4.880681362491158
10+,A1,213.0,0.9530511780564622,36.0,4.716264487513717
10+,A2,527.0,0.9468698107586524,29.0,4.786577298323342
10+,A3,698.0,0.9469908943701565,35.0,4.765506666734845
