bande10,type5,n,rated,reviews_median,rating
0,integrated chain,52.0,0.9423076923076923,16.0,4.76530612244898
0,brand network,46.0,0.8695652173913043,7.0,4.8925
0,optician-hosted,7.0,0.8571428571428571,3.0,4.75
0,mutualist network,9.0,1.0,25.0,4.822222222222222
0,unbranded independent,166.0,0.8493975903614458,8.0,4.816312056737588
1-2,integrated chain,183.0,0.9836065573770492,20.0,4.694444444444445
1-2,brand network,111.0,0.963963963963964,19.0,4.837383177570094
1-2,optician-hosted,49.0,0.9183673469387755,32.0,4.851111111111111
1-2,mutualist network,42.0,0.8809523809523809,14.0,4.6567567567567565
1-2,unbranded independent,361.0,0.8919667590027701,11.0,4.777639751552796
3-9,integrated chain,108.0,1.0,29.0,4.741666666666668
3-9,brand network,48.0,0.9791666666666667,21.0,4.844680851063831
3-9,optician-hosted,93.0,0.967741935483871,130.0,4.690000000000001
3-9,mutualist network,45.0,0.9555555555555556,26.0,4.820930232558139
3-9,unbranded independent,208.0,0.8701917919777248,18.0,4.835360190568131
10+,integrated chain,306.0,0.9803921568627451,31.0,4.676333333333333
10+,brand network,149.0,0.959731543624161,35.0,4.8636363636363615
10+,optician-hosted,176.0,0.9545454545454546,179.0,4.676785714285714
10+,mutualist network,75.0,0.9733333333333333,32.0,4.739726027397261
10+,unbranded independent,732.0,0.9275961184729166,28.0,4.809720655479022
