groupe,n,type5,owner_share
Acuitis,60,optician-hosted,0.3
Alain Afflelou Acousticien,216,optician-hosted,0.62
Amplifon,694,integrated chain,0.02
Atol,57,optician-hosted,0.561
Audika,645,integrated chain,0.029
Audilab,272,brand network,0.493
Audio 2000,100,brand network,0.59
Audio pour tous,19,brand network,0.684
Audition Conseil,177,brand network,0.508
Audition Marc Boulet,49,integrated chain,0.163
Audition Santé (Sonova),288,integrated chain,0.059
Benoit Audition,59,integrated chain,0.136
Entendre,145,brand network,0.724
Generale d'Optique,4,optician-hosted,0.75
GrandAudition,50,integrated chain,0.28
Idéal Audition,23,brand network,0.609
Indépendant / autre,4093,unbranded independent,0.632
Krys Audition,205,optician-hosted,0.488
Lissac,9,optician-hosted,0.889
Manéo Audition,22,integrated chain,0.227
Optic 2000,26,optician-hosted,0.5
Optical Center,495,optician-hosted,0.214
Solusons,35,integrated chain,0.057
Sonance Audition,108,brand network,0.694
VivaSon,57,brand network,0.579
Écouter Voir / mutualiste,513,mutualist network,0.041
