brand,n,prix,page_tarifs,sante100
Acuitis,11.0,0.0,1.0,1.0
Alain Afflelou Acousticien,65.0,0.0,0.0,1.0
Amplifon,233.0,0.0,1.0,1.0
Atol,12.0,0.0,0.0,1.0
Audika,216.0,0.9814814814814815,0.9861111111111112,1.0
Audilab,121.0,0.01652892561983471,0.01652892561983471,1.0
Audio 2000,43.0,0.0,0.023255813953488372,0.9534883720930233
Audio pour tous,1.0,0.0,0.0,0.0
Audition Conseil,59.0,0.6779661016949152,0.6779661016949152,0.864406779661017
Audition Marc Boulet,14.0,0.0,1.0,1.0
Audition Santé (Sonova),119.0,0.957983193277311,0.957983193277311,0.9831932773109243
Benoit Audition,24.0,0.0,0.0,1.0
Entendre,53.0,0.018867924528301886,0.07547169811320754,0.9433962264150944
Generale d'Optique,3.0,0.0,0.0,1.0
GrandAudition,14.0,0.0,0.0,1.0
Idéal Audition,8.0,0.0,0.0,1.0
Krys Audition,78.0,0.0,0.0,1.0
Lissac,2.0,0.0,0.0,1.0
Manéo Audition,8.0,0.0,0.0,1.0
Optic 2000,9.0,0.0,0.0,0.0
Optical Center,140.0,0.0,0.0,0.02857142857142857
Solusons,12.0,0.0,0.0,1.0
Sonance Audition,52.0,0.019230769230769232,0.019230769230769232,1.0
VivaSon,21.0,0.0,0.0,1.0
Écouter Voir / mutualiste,164.0,0.006097560975609756,0.006097560975609756,0.06707317073170732
