var,y,coef,se,p,n
prix_affiche,log(1+avis),-0.131,0.358,0.714,2706
prix_affiche,note,-0.006,0.037,0.876,2576
grille_tarifs,log(1+avis),-0.197,0.315,0.532,2706
grille_tarifs,note,0.013,0.036,0.708,2576
sante100,log(1+avis),-0.556,0.31,0.073,2706
sante100,note,0.121,0.029,0.0,2576
classe2,log(1+avis),-0.192,0.293,0.513,2706
classe2,note,0.082,0.03,0.007,2576
essai_gratuit,log(1+avis),-0.012,0.171,0.946,2706
essai_gratuit,note,0.045,0.025,0.078,2576
bilan_gratuit,log(1+avis),-0.008,0.178,0.966,2706
bilan_gratuit,note,0.041,0.026,0.112,2576
rdv_en_ligne,log(1+avis),-0.252,0.208,0.226,2706
rdv_en_ligne,note,0.004,0.029,0.894,2576
devis,log(1+avis),0.42,0.256,0.101,2706
devis,note,-0.038,0.034,0.261,2576
garantie_suivi,log(1+avis),-0.05,0.144,0.728,2706
garantie_suivi,note,0.039,0.027,0.139,2576
