site_id,siret,enseigne,raison_sociale,groupe,adresse,code_postal,code_insee,commune_rpps,secteur,n_praticiens,n_salaries,n_titulaires,nom_site,retail,type,code_insee_geo,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,nb_audioprothesistes_2026,lat,lon,dist_audio_km,apl,n_sites_commune,concurrents_10km,concurrents_20km,concurrents_30km,dist_concurrent_km,bande_concurrence,bande10,strate,poids
R10100000694929,44154303000064,AUDITION MARC BOULET,ECLEAR,Audition Marc Boulet,32 Avenue PAUL VAILLANT COUTURIER,94400,94081,Vitry-sur-Seine,Appareillage médical,2,2,0,AUDITION MARC BOULET,True,enseigne nationale,94081,Vitry-sur-Seine,11 - Île-de-France,93963.0,14.01,21660.0,14.0,48.78943314814814,2.389078148148148,0.0,118.3722991687532,10,543.0,980.0,1231.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
R10100000713616,81304315500015,CFA NEUILLY AUDITION,NEUILLY AUDITION,Indépendant / autre,82 Avenue CHARLES DE GAULLE,92200,92051,Neuilly-sur-Seine,Appareillage médical,1,0,1,CFA NEUILLY AUDITION,True,indépendant,92051,Neuilly-sur-Seine,11 - Île-de-France,59538.0,22.85,56030.0,20.0,48.88419555555556,2.261763888888889,0.0,121.03850298019084,14,596.0,996.0,1240.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000714901,84095768200031,BENOIT AUDITION,AUDIOPROTHESE MACREZ,Benoit Audition,16 Place BREVIERES,76440,76276,Forges-les-Eaux,Appareillage médical,1,1,0,BENOIT AUDITION,True,enseigne nationale,76276,Forges-les-Eaux,28 - Normandie,3642.0,36.03,22710.0,5.0,49.614761690140845,1.5710176056338028,0.0,88.09549201228064,3,2.0,13.0,18.0,0.0,10+,1-2,1-2 | enseigne nationale,1.0
R10100000798834,94498334500017,Audition Pins Justaret,Audition Pins Justaret,Indépendant / autre,2 Chemin de la Croisette,31860,31421,Pins-Justaret,Appareillage médical,1,0,1,Audition Pins Justaret,True,indépendant,31421,Pins-Justaret,76 - Occitanie,4378.0,23.37,27770.0,2.0,43.482282777777776,1.3920275,0.0,118.1683612588787,2,29.0,134.0,171.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000686741,30889577004237,AUDIKA,SOGECA,Audika,21 Rue GAMBETTA,50200,50147,Coutances,Appareillage médical,1,1,0,AUDIKA,True,enseigne nationale,50147,Coutances,28 - Normandie,8321.0,26.12,22630.0,5.0,49.05605925373135,-1.4434146268656718,0.0,45.68152262816951,5,4.0,4.0,20.0,0.0,10+,3-9,3-9 | enseigne nationale,3.772
R10100000694033,44154303000189,AUDITION MARC BOULET,ECLEAR,Audition Marc Boulet,1 B Rue JEAN DUSSART,91390,91434,Morsang-sur-Orge,Appareillage médical,1,1,0,AUDITION MARC BOULET,True,enseigne nationale,91434,Morsang-sur-Orge,11 - Île-de-France,21667.0,15.22,27520.0,2.0,48.658541250000006,2.355645,0.0,80.05021751870308,2,64.0,293.0,978.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
R10100000706072,52964227400029,OPTICAL CENTER,BB-POITIERS SUD,Optical Center,2 Route DE LA SAULAIE,86000,86194,Poitiers,Appareillage médical,3,2,1,OPTICAL CENTER,True,enseigne nationale,86194,Poitiers,75 - Nouvelle-Aquitaine,89916.0,15.75,22350.0,18.0,46.58218445714286,0.3641288571428572,0.0,88.17608159496059,15,23.0,27.0,41.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
R10100000687218,30889577005622,AUDIKA,SOGECA,Audika,8 Place DU VERT BUISSON,35170,35047,Bruz,Appareillage médical,2,2,0,AUDIKA,True,enseigne nationale,35047,Bruz,53 - Bretagne,19683.0,15.46,28230.0,8.0,48.02484539130436,-1.7485040869565216,0.0,117.3084824634881,7,18.0,82.0,107.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
R10100000839767,10010693900026,KRYS AUDITION,BLF AUDITION,Krys Audition,17 Rue Saint-Jacques,58200,58086,Cosne-Cours-sur-Loire,Appareillage médical,1,1,0,KRYS AUDITION,True,enseigne nationale,58086,Cosne-Cours-sur-Loire,27 - Bourgogne-Franche-Comté,9733.0,35.72,23560.0,6.0,47.41463577777778,2.95181925925926,0.0,52.40432865257488,5,4.0,4.0,8.0,0.0,3-9,3-9,3-9 | enseigne nationale,3.772
R10100000810299,80060830900103,ALAIN AFFLELOU ACOUSTICIEN,CORRECTION AUDITIVE CEVENNES,Alain Afflelou Acousticien,ROUTE DE SAUSSINES,30250,30321,Sommières,Appareillage médical,1,0,1,ALAIN AFFLELOU ACOUSTICIEN,True,enseigne nationale,30321,Sommières,76 - Occitanie,5073.0,22.3,22550.0,6.0,43.77335901639344,4.08181393442623,0.0,90.4995034222747,4,6.0,42.0,147.0,0.0,10+,3-9,3-9 | enseigne nationale,3.772
R10100000699113,48920986600024,,OPTIQUE SAINT QUENTINOISE,Indépendant / autre,Route DE GUISE,02100,02371,Harly,Appareillage médical,1,0,1,OPTIQUE SAINT QUENTINOISE,True,indépendant,02371,Harly,32 - Hauts-de-France,1569.0,28.58,23750.0,1.0,49.84140677419354,3.334279677419356,0.0,80.32983433984693,1,14.0,15.0,27.0,3.6,10+,10+,10+ | indépendant,3.7745901639344264
