rpps_structure_id,code_insee,code_insee_geo,commune,region,retail,type5,brand,owner_on_site,practitioners_topcoded_4,concurrents_10km,concurrents_20km,concurrents_30km,alternatives_10km,dist_concurrent_km,n_sites_commune,pop_10km,pop65_10km,demand65_per_site,apl_v21,entrant_commune,strate,poids,web_ok,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
F090004490,09124,09124,Le Fossat,76 - Occitanie,False,unbranded independent,,1,1,0.0,13.0,33.0,,12.9,1,8346,1955.0081,1955.0081,84.7720209397134,,,,,,,,,,,,,
F090005067,09160,09160,Lavelanet,76 - Occitanie,False,unbranded independent,,0,1,3.0,12.0,28.0,,0.0,3,17805,6059.2974,1514.82435,109.78151538781674,,,,,,,,,,,,,
F250006954,25056,25056,Besançon,27 - Bourgogne-Franche-Comté,False,unbranded independent,,0,1,20.0,23.0,30.0,,0.0,17,166930,32791.26,1561.4885714285715,82.2888738564986,,,,,,,,,,,,,
F300011434,30189,30189,Nîmes,76 - Occitanie,False,mutualist network,Écouter Voir / mutualiste,1,2,25.0,36.0,72.0,,0.0,22,194764,43228.9166,1662.6506384615384,77.98368458188743,,,,,,,,,,,,,
F310793773,31446,31446,Ramonville-Saint-Agne,76 - Occitanie,False,unbranded independent,,0,1,76.0,144.0,176.0,,0.0,2,647957,94779.4503,1230.901951948052,129.22075377039457,,,,,,,,,,,,,
F330781360,33063,33063,Bordeaux,75 - Nouvelle-Aquitaine,False,unbranded independent,,0,2,99.0,147.0,171.0,,0.0,38,757004,124150.7715,1241.507715,131.97340113647428,,,,,,,,,,,,,
F340782085,34172,34172,Montpellier,76 - Occitanie,False,unbranded independent,,0,3,80.0,93.0,128.0,,0.0,37,477531,83003.1415,1024.7301419753087,108.96196967353306,,,,,,,,,,,,,
F350000741,35238,35238,Rennes,53 - Bretagne,False,unbranded independent,,0,2,63.0,90.0,106.0,,0.0,29,377172,59398.68520000001,928.10445625,136.29117245504656,,,,,,,,,,,,,
F350002762,35115,35115,Fougères,53 - Bretagne,False,unbranded independent,,0,1,12.0,17.0,36.0,,0.0,12,45265,10683.717499999995,821.8244230769228,102.67088490637757,,,,,,,,,,,,,
F350007571,35115,35115,Fougères,53 - Bretagne,False,unbranded independent,,0,1,12.0,17.0,36.0,,0.0,12,45265,10683.717499999995,821.8244230769228,102.67088490637757,,,,,,,,,,,,,
