site_id,siret,enseigne,raison_sociale,groupe,adresse,code_postal,code_insee,commune_rpps,secteur,n_praticiens,n_salaries,n_titulaires,nom_site,retail,type,code_insee_geo,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,nb_audioprothesistes_2026,lat,lon,dist_audio_km,apl,n_sites_commune,concurrents_10km,concurrents_20km,concurrents_30km,dist_concurrent_km,bande_concurrence,alternatives_10km,memes_enseigne_10km,alternatives_20km,memes_enseigne_20km,bande_alt10,nb_audio_2022_commune,entrant_commune
R10000003532842,81456042100012,AUDITION DU SOLEIL,AUDITION DU SOLEIL,Indépendant / autre,Avenue DU DOCTEUR NOEL FRANCHINI,20090,2A004,Ajaccio,Appareillage médical,1,1,0,AUDITION DU SOLEIL,True,indépendant,2A004,Ajaccio,94 - Corse,76320.0,23.49,25880.0,11.0,41.93138803149606,8.697404212598425,0.0,61.48018192299399,11,10.0,13.0,14.0,0.0,10+,7,0,9,0,3-9,9.0,False
R10000003848348,50938589400043,AUDITION FRANCE,AUDITION FRANCE,Indépendant / autre,4 RUE DE LA TRINITE,35410,35069,Châteaugiron,Appareillage médical,1,0,1,AUDITION FRANCE,True,indépendant,35069,Châteaugiron,53 - Bretagne,10845.0,14.02,30120.0,4.0,48.04797701149426,-1.476434367816092,0.0,114.57770331821752,3,4.0,67.0,112.0,0.0,10+,4,0,39,0,3-9,3.0,False
R10000004104552,44441067400014,,MUTUELLE REAL SANIT SOCIAL PERS GR RATP,Indépendant / autre,62 QUAI DE LA RAPEE,75012,75112,Paris 12e  Arrondissement,Appareillage médical,1,1,0,MUTUELLE REAL SANIT SOCIAL PERS GR RATP,True,indépendant,75056,Paris,,138024.0,18.3,,36.0,48.85022,2.36163,0.0,,25,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004104672,51271846100019,,ZACO,Indépendant / autre,244 BUREAUX DE LA COLLINE,92210,92064,Saint-Cloud,Appareillage médical,1,1,0,ZACO,True,indépendant,92064,Saint-Cloud,11 - Île-de-France,29855.0,18.13,45740.0,5.0,48.84221000000001,2.20753,0.0,119.0079387841477,6,211.0,960.0,1234.0,0.0,10+,135,0,620,0,10+,3.0,False
R10000004104822,52182733700028,,PRESTIGE AUDITION,Indépendant / autre,167 AV DE FLANDRE,75019,75119,Paris 19e  Arrondissement,Appareillage médical,1,1,0,PRESTIGE AUDITION,True,indépendant,75056,Paris,,178691.0,16.14,,38.0,48.85022,2.36163,0.0,,32,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004104923,88116608600010,,VANVES AUDITION,Indépendant / autre,8 RUE JEAN BLEUZEN,92170,92075,Vanves,Appareillage médical,1,0,1,VANVES AUDITION,True,indépendant,92075,Vanves,11 - Île-de-France,28622.0,17.41,34820.0,7.0,48.820558125,2.283945,0.0,122.67935277667404,5,555.0,1020.0,1259.0,0.0,10+,351,0,653,0,10+,3.0,False
R10000004104932,91438925900013,,JES AUDIO,Indépendant / autre,54 RUE ORDENER,75018,75118,Paris 18e  Arrondissement,Appareillage médical,1,0,1,JES AUDIO,True,indépendant,75056,Paris,,183127.0,13.79,,40.0,48.85022,2.36163,0.0,,24,621.0,1063.0,1248.0,0.0,10+,414,0,671,0,10+,,False
R10000004104933,90176097500010,,START AUDITION GROUP,Indépendant / autre,2 RUE PIERRE GUIGNOIS,94200,94041,Ivry-sur-Seine,Appareillage médical,1,1,0,START AUDITION GROUP,True,indépendant,94041,Ivry-sur-Seine,11 - Île-de-France,65064.0,12.08,22210.0,8.0,48.80924,2.3879660000000005,0.0,120.96472962626044,6,556.0,1022.0,1233.0,0.0,10+,358,0,642,0,10+,2.0,False
R10000004104972,97858935600028,,KDB,Indépendant / autre,18 RUE VOLTAIRE,92250,92035,La Garenne-Colombes,Appareillage médical,1,1,0,KDB,True,indépendant,92035,La Garenne-Colombes,11 - Île-de-France,30197.0,13.77,37720.0,6.0,48.90692625,2.246325625,0.0,119.89358936867742,5,252.0,972.0,1227.0,0.0,10+,185,0,631,0,10+,3.0,False
R10000004104975,50323729900055,,EMS VISION,Indépendant / autre,48 RUE BERTHIE ALBRECHT,95210,95555,Saint-Gratien,Appareillage médical,1,0,1,EMS VISION,True,indépendant,95555,Saint-Gratien,11 - Île-de-France,21336.0,18.0,26600.0,2.0,48.9690675,2.28379375,0.0,111.27392076530566,2,232.0,898.0,1170.0,0.0,10+,188,0,598,0,10+,2.0,False
